Eq,Prof,TR
z,600,"0,016"
z,618,"0,016"
z,636,"0,016"
z,654,"0,016"
z,672,"0,016"
z,690,"0,016"
z,708,"0,016"
z,726,"0,016"
z,744,"0,016"
z,762,"0,016"
z,777,"0,016"
z,816,"0,016"
z,834,"0,016"
z,840,"0,016"
z,852,"0,016"
z,870,"0,016"
z,900,"0,016"
z,918,"0,016"
z,936,"0,016"
z,954,"0,016"
z,972,"0,016"
z,990,"0,016"
z,1023,"0,016"
z,1026,"0,016"
z,1062,"0,016"
z,1116,"0,017"
z,1149,"0,02"
z,1152,"0,02"
z,1170,"0,022"
z,1188,"0,023"
z,1206,"0,025"
z,1224,"0,027"
z,1227,"0,027"
z,1242,"0,028"
z,1260,"0,03"
z,1278,"0,032"
z,1314,"0,036"
z,1332,"0,037"
z,1374,"0,042"
z,1386,"0,043"
z,1404,"0,045"
z,1455,"0,05"
z,1458,"0,05"
z,1476,"0,052"
z,1527,"0,058"
z,1620,"0,067"
z,1647,"0,07"
z,1692,"0,075"
z,1746,"0,08"
z,1764,"0,082"
z,1782,"0,084"
z,1800,"0,086"
z,1818,"0,088"
z,1836,"0,09"
z,1872,"0,093"
z,1875,"0,094"
z,1890,"0,095"
z,1908,"0,097"
z,1944,"0,1"
z,1962,"0,102"
z,1980,"0,104"
z,1998,"0,106"
z,2016,"0,107"
z,2034,"0,109"
z,2070,"0,113"
z,2106,"0,116"
z,2160,"0,121"
z,2190,"0,124"
z,2202,"0,125"
z,2208,"0,126"
z,2370,"0,14"
z,2442,"0,147"
z,2496,"0,151"
z,2550,"0,156"
z,2568,"0,157"
z,2586,"0,159"
z,2604,"0,16"
z,2640,"0,163"
z,2658,"0,165"
z,2691,"0,167"
z,2694,"0,168"
z,2712,"0,169"
z,2739,"0,171"
z,2820,"0,178"
z,2856,"0,18"
z,2964,"0,189"
z,2979,"0,19"
z,2982,"0,19"
z,3030,"0,193"
z,3036,"0,194"
z,3072,"0,197"
z,3129,"0,201"
z,3309,"0,213"
a,600,"0,407"
a,618,"0,411"
a,636,"0,415"
a,654,"0,418"
a,672,"0,421"
a,690,"0,424"
a,708,"0,428"
a,726,"0,431"
a,744,"0,434"
a,762,"0,437"
a,777,"0,439"
a,816,"0,445"
a,834,"0,448"
a,840,"0,448"
a,852,"0,45"
a,870,"0,453"
a,900,"0,457"
a,918,"0,459"
a,936,"0,462"
a,954,"0,464"
a,972,"0,466"
a,990,"0,469"
a,1023,"0,473"
a,1026,"0,473"
a,1062,"0,477"
a,1116,"0,483"
a,1149,"0,487"
a,1152,"0,487"
a,1170,"0,489"
a,1188,"0,491"
a,1206,"0,493"
a,1224,"0,494"
a,1227,"0,495"
a,1242,"0,496"
a,1260,"0,498"
a,1278,"0,5"
a,1314,"0,503"
a,1332,"0,505"
a,1374,"0,509"
a,1386,"0,51"
a,1404,"0,511"
a,1455,"0,515"
a,1458,"0,516"
a,1476,"0,517"
a,1527,"0,521"
a,1620,"0,529"
a,1647,"0,531"
a,1692,"0,534"
a,1746,"0,538"
a,1764,"0,539"
a,1782,"0,54"
a,1800,"0,541"
a,1818,"0,543"
a,1836,"0,544"
a,1872,"0,546"
a,1875,"0,546"
a,1890,"0,547"
a,1908,"0,549"
a,1944,"0,551"
a,1962,"0,552"
a,1980,"0,553"
a,1998,"0,554"
a,2016,"0,555"
a,2034,"0,556"
a,2070,"0,559"
a,2106,"0,561"
a,2160,"0,564"
a,2190,"0,565"
a,2202,"0,566"
a,2208,"0,566"
a,2370,"0,575"
a,2442,"0,579"
a,2496,"0,581"
a,2550,"0,584"
a,2568,"0,585"
a,2586,"0,586"
a,2604,"0,587"
a,2640,"0,588"
a,2658,"0,589"
a,2691,"0,591"
a,2694,"0,591"
a,2712,"0,591"
a,2739,"0,593"
a,2820,"0,596"
a,2856,"0,598"
a,2964,"0,602"
a,2979,"0,603"
a,2982,"0,603"
a,3030,"0,605"
a,3036,"0,605"
a,3072,"0,607"
a,3129,"0,609"
a,3309,"0,616"
b,600,"0,141"
b,618,"0,142"
b,636,"0,143"
b,654,"0,144"
b,672,"0,145"
b,690,"0,147"
b,708,"0,148"
b,726,"0,149"
b,744,"0,15"
b,762,"0,151"
b,777,"0,152"
b,816,"0,154"
b,834,"0,155"
b,840,"0,155"
b,852,"0,155"
b,870,"0,156"
b,900,"0,158"
b,918,"0,159"
b,936,"0,159"
b,954,"0,16"
b,972,"0,161"
b,990,"0,162"
b,1023,"0,163"
b,1026,"0,163"
b,1062,"0,165"
b,1116,"0,167"
b,1149,"0,168"
b,1152,"0,168"
b,1170,"0,169"
b,1188,"0,169"
b,1206,"0,17"
b,1224,"0,171"
b,1227,"0,171"
b,1242,"0,171"
b,1260,"0,172"
b,1278,"0,172"
b,1314,"0,174"
b,1332,"0,174"
b,1374,"0,175"
b,1386,"0,176"
b,1404,"0,176"
b,1455,"0,178"
b,1458,"0,178"
b,1476,"0,178"
b,1527,"0,18"
b,1620,"0,182"
b,1647,"0,183"
b,1692,"0,184"
b,1746,"0,186"
b,1764,"0,186"
b,1782,"0,186"
b,1800,"0,187"
b,1818,"0,187"
b,1836,"0,188"
b,1872,"0,188"
b,1875,"0,189"
b,1890,"0,189"
b,1908,"0,189"
b,1944,"0,19"
b,1962,"0,19"
b,1980,"0,191"
b,1998,"0,191"
b,2016,"0,192"
b,2034,"0,192"
b,2070,"0,193"
b,2106,"0,193"
b,2160,"0,194"
b,2190,"0,195"
b,2202,"0,195"
b,2208,"0,195"
b,2370,"0,198"
b,2442,"0,2"
b,2496,"0,201"
b,2550,"0,201"
b,2568,"0,202"
b,2586,"0,202"
b,2604,"0,202"
b,2640,"0,203"
b,2658,"0,203"
b,2691,"0,204"
b,2694,"0,204"
b,2712,"0,204"
b,2739,"0,204"
b,2820,"0,206"
b,2856,"0,206"
b,2964,"0,208"
b,2979,"0,208"
b,2982,"0,208"
b,3030,"0,209"
b,3036,"0,209"
b,3072,"0,209"
b,3129,"0,21"
b,3309,"0,212"
c,600,"0,41"
c,618,"0,413"
c,636,"0,417"
c,654,"0,42"
c,672,"0,424"
c,690,"0,427"
c,708,"0,43"
c,726,"0,433"
c,744,"0,436"
c,762,"0,439"
c,777,"0,442"
c,816,"0,448"
c,834,"0,45"
c,840,"0,451"
c,852,"0,453"
c,870,"0,456"
c,900,"0,46"
c,918,"0,462"
c,936,"0,465"
c,954,"0,467"
c,972,"0,469"
c,990,"0,471"
c,1023,"0,475"
c,1026,"0,476"
c,1062,"0,48"
c,1116,"0,486"
c,1149,"0,49"
c,1152,"0,49"
c,1170,"0,492"
c,1188,"0,494"
c,1206,"0,496"
c,1224,"0,498"
c,1227,"0,498"
c,1242,"0,499"
c,1260,"0,501"
c,1278,"0,503"
c,1314,"0,506"
c,1332,"0,508"
c,1374,"0,512"
c,1386,"0,513"
c,1404,"0,514"
c,1455,"0,519"
c,1458,"0,519"
c,1476,"0,521"
c,1527,"0,525"
c,1620,"0,532"
c,1647,"0,534"
c,1692,"0,537"
c,1746,"0,541"
c,1764,"0,542"
c,1782,"0,544"
c,1800,"0,545"
c,1818,"0,546"
c,1836,"0,547"
c,1872,"0,55"
c,1875,"0,55"
c,1890,"0,551"
c,1908,"0,552"
c,1944,"0,554"
c,1962,"0,556"
c,1980,"0,557"
c,1998,"0,558"
c,2016,"0,559"
c,2034,"0,56"
c,2070,"0,562"
c,2106,"0,564"
c,2160,"0,567"
c,2190,"0,569"
c,2202,"0,57"
c,2208,"0,57"
c,2370,"0,579"
c,2442,"0,582"
c,2496,"0,585"
c,2550,"0,588"
c,2568,"0,589"
c,2586,"0,59"
c,2604,"0,59"
c,2640,"0,592"
c,2658,"0,593"
c,2691,"0,594"
c,2694,"0,595"
c,2712,"0,595"
c,2739,"0,597"
c,2820,"0,6"
c,2856,"0,602"
c,2964,"0,606"
c,2979,"0,607"
c,2982,"0,607"
c,3030,"0,609"
c,3036,"0,609"
c,3072,"0,611"
c,3129,"0,613"
c,3309,"0,62"
