Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
579.80,2.50,0.32,6.85,1.22,430.00,,274.00,48.80
597.80,2.51,0.29,7.13,1.27,429.00,,284.06,50.60
615.80,2.18,0.22,6.05,1.26,430.00,,277.52,57.80
633.80,2.06,0.26,5.28,1.10,430.00,,256.31,53.40
651.80,1.29,0.17,1.76,1.36,428.00,,136.43,105.43
669.80,3.91,0.79,21.16,2.12,427.00,,541.18,54.22
687.80,3.54,0.78,16.22,1.53,428.00,,458.19,43.22
705.80,4.37,1.48,28.08,1.43,427.00,,642.56,32.72
723.80,5.49,1.44,35.20,1.37,426.00,,641.17,24.95
741.80,5.93,1.34,33.07,1.18,424.00,,557.67,19.90
756.80,3.94,0.80,17.87,1.05,428.00,,453.55,26.65
795.80,3.74,0.64,13.44,1.13,428.00,,359.36,30.21
813.80,3.99,0.77,14.99,1.15,428.00,,375.69,28.82
819.80,3.76,0.81,10.92,1.83,430.00,,290.43,48.67
831.80,4.36,1.06,18.67,1.13,426.00,,428.21,25.92
849.80,3.58,0.81,13.20,1.02,428.00,,368.72,28.49
879.80,3.26,0.56,8.62,1.26,430.00,,264.42,38.65
897.80,8.20,1.88,62.34,1.41,426.00,,760.24,17.20
915.80,4.42,1.39,26.74,1.16,429.00,,604.98,26.24
933.80,3.16,0.76,17.02,0.86,432.00,,538.61,27.22
951.80,2.52,0.70,10.61,0.71,434.00,,421.03,28.17
969.80,4.48,1.39,23.95,1.21,429.00,,534.60,27.01
1002.80,1.56,0.20,3.85,0.80,436.00,,246.79,51.28
1005.80,2.29,0.22,2.37,0.89,439.00,,103.49,38.86
1041.80,1.09,0.05,1.07,0.63,435.00,,98.17,57.80
1074.80,0.81,,,,,,,
1095.80,1.06,0.06,1.40,0.45,436.00,,132.08,42.45
1113.80,0.88,,,,,,,
1128.80,1.08,0.15,2.39,0.86,439.00,,221.30,79.63
1131.80,1.35,0.11,4.90,0.62,435.00,,362.96,45.93
1149.80,2.48,0.35,10.71,0.57,434.00,,431.85,22.98
1167.80,1.70,0.21,5.56,0.70,435.00,,327.06,41.18
1185.80,2.26,0.30,11.38,0.57,434.00,,503.54,25.22
1203.80,1.36,0.19,1.36,0.87,439.00,,100.00,63.97
1206.80,1.74,0.14,2.01,0.73,437.00,,115.52,41.95
1221.80,2.66,0.34,11.70,0.73,434.00,,439.85,27.44
1239.80,5.37,1.03,35.96,0.76,433.00,,669.65,14.15
1257.80,2.07,0.17,5.56,0.77,435.00,,268.60,37.20
1293.80,1.80,0.15,6.35,0.62,436.00,,352.78,34.44
1311.80,1.10,0.05,1.21,0.41,438.00,,110.00,37.27
1353.80,0.95,0.20,2.19,0.53,441.00,,230.53,55.79
1365.80,1.44,0.06,3.24,0.74,438.00,,225.00,51.39
1383.80,0.93,0.04,0.87,0.64,437.00,,93.55,68.82
1434.80,0.79,0.22,1.46,0.54,439.00,,184.81,68.35
1437.80,4.24,0.70,25.97,0.79,434.00,,612.50,18.63
1455.80,1.06,0.08,1.67,0.75,435.00,,157.55,70.75
1506.80,4.55,0.81,28.09,0.55,433.00,,617.36,12.09
1578.80,0.34,,,,,,,
1581.80,0.43,,,,,,,
1599.80,1.15,0.08,2.61,0.55,442.00,,226.96,47.83
1614.80,0.60,,,,,,,
1626.80,2.18,0.76,10.58,0.42,439.00,,485.32,19.27
1671.80,0.94,0.07,1.01,0.55,437.00,,107.45,58.51
1692.80,0.84,,,,,,,
1710.80,0.80,,,,,,,
1725.80,1.12,0.09,1.00,0.33,440.00,,89.29,29.46
1743.80,1.21,0.11,1.71,0.44,436.00,,141.32,36.36
1761.80,2.72,0.57,9.96,0.45,434.00,,366.18,16.54
1779.80,0.92,0.08,1.00,0.35,439.00,,108.70,38.04
1797.80,2.18,0.28,9.59,0.33,439.00,,439.91,15.14
