Nome,LATITUDE_BASE_DD,LONGITUDE_BASE_DD
1-BRSA-132-ALS      ,"-10,3049455555","-36,0511980555"
1-BRSA-464D-AL      ,"-9,7239738888","-35,9014963888"
1-BRSA-50-ESS       ,"-19,6199188888","-39,0326852777"
1-BRSA-67-ESS       ,"-19,8550002777","-39,3120913888"
1-MD-1-MA           ,"-6,3838122222","-44,3003786111"
2-VGST-1-MA         ,"-3,5489177777","-43,8865797222"
1-PA-1-MA           ,"-4,1743416666","-45,6556705555"
1-IZ-2-MA           ,"-5,4506727777","-47,3511358333"
1-QB-2-RN           ,"-5,3794663888","-37,1710625"
1-RAG-2-RN          ,"-5,4666361111","-37,3235191666"
4-LOR-2-RN          ,"-5,5201008333","-37,4796002777"
3-BRSA-1-RN         ,"-5,5211797222","-37,5061386111"
7-CAM-856-RN        ,"-5,1402541666","-37,1500116666"
1-BRSA-455-RN       ,"-5,2859419444","-37,1575475"
3-CX-25-BA          ,"-12,62396","-38,4923816666"
7-CX-84D-BA         ,"-12,6434386111","-38,4838405555"
7-CX-81D-BA         ,"-12,6938811111","-38,4690305555"
4-ATS-16A-SE        ,"-11,0068763888","-37,0638580555"
4-ATS-16A-SE        ,"-11,4487386111","-38,6891802777"
