Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%],IH Calculado [mg HC/g COT],Cluster,Carbono Ativo [%],Carbono Inerte [%],IH₀ Ativo [mg HC/g COT],Ro [%]_ajustado,Taxa de Transformação [v/v],COT₀ [%],S2₀ [mg HC/g rocha],Rₒ calculada [%],IH₀ [mg HC/g COT]
2400,1.01,2.29,2.6,4.34,378,257.4258,429703,,257.4257425742574,1,1.0100000000000005,-5.295409196883467e-16,257.4257425742573,0.2,0.0,1.01,2.6,0.0,257.4257425742574
2820,1.07,0.25,0.39,2.83,319,36.4486,264486,0.25,36.44859813084112,1,1.0700000000000005,-5.295409196883467e-16,36.448598130841106,0.1851950014849404,0.0,1.07,0.39,0.0,36.44859813084112
2829,681,0.62,0.92,1.35,290,135.0955,198.2379,,135.0954478707783,1,0.6810000000000006,-5.295409196883467e-16,135.09544787077814,0.18914265667098284,0.0,681,0.92,0.0,135.09544787077826
2847,0.98,0.44,0.83,1.43,288,84.6939,145.9184,,84.6938775510204,1,0.9800000000000005,-5.295409196883467e-16,84.69387755102036,0.19700042976284848,0.0,0.98,0.83,0.0,84.6938775510204
2856,1.27,0.54,1.01,1.76,290,79.5276,138.5827,,79.52755905511812,1,1.2700000000000005,-5.295409196883467e-16,79.52755905511808,0.2009107057211743,0.0,1.27,1.01,0.0,79.5275590551181
2865,1.38,0.5,0.97,1.92,290,70.2899,139.1304,,70.28985507246377,1,1.3800000000000003,-5.295409196883467e-16,70.28985507246375,0.2048086787458221,0.0,1.38,0.97,0.0,70.28985507246378
2874,1.51,0.45,0.96,2.07,291,63.5762,137.0861,,63.57615894039736,1,1.5100000000000005,-5.295409196883467e-16,63.576158940397335,0.20869442601168586,0.0,1.51,0.96,0.0,63.57615894039735
2883,1.68,0.76,1.25,2.58,297,74.4048,153.5714,,74.40476190476191,1,1.6800000000000004,-5.295409196883467e-16,74.40476190476188,0.21256802396976582,0.0,1.68,1.25,0.0,74.40476190476191
2892,1.6,0.61,1.09,2.46,290,68125,153.75,,68125,1,1.6000000000000005,-5.295409196883467e-16,68.12499999999999,0.21642954835618688,0.0,1.6,1.09,0.0,68125
2901,1.81,0.89,1.44,2.98,291,79558,164.6409,,79.55801104972376,1,1.8100000000000005,-5.295409196883467e-16,79.55801104972373,0.2202790742010965,0.0,1.81,1.44,0.0,79.55801104972376
2910,1.61,0.54,0.87,2.66,335,54.0373,165.2174,,54.03726708074533,1,1.6100000000000005,-5.295409196883467e-16,54.03726708074532,0.22411667583740424,0.0,1.61,0.87,0.0,54.03726708074534
2919,1.55,0.37,0.76,2.37,288,49.0323,152.9032,,49.03225806451613,1,1.5500000000000005,-5.295409196883467e-16,49.032258064516114,0.22794242690939548,0.0,1.55,0.76,0.0,49.03225806451613
2928,1.64,0.44,0.81,2.59,291,49.3902,157.9268,,49.39024390243903,1,1.6400000000000003,-5.295409196883467e-16,49.39024390243901,0.23175640038120804,0.0,1.64,0.81,0.0,49.390243902439025
2937,1.63,0.39,0.7,2.77,297,42.9448,169.9386,,42.94478527607362,1,1.6300000000000003,-5.295409196883467e-16,42.94478527607361,0.23555866854519003,0.0,1.63,0.7,0.0,42.944785276073624
2946,1.68,0.27,0.62,2.69,290,36.9048,160119,,36.90476190476191,1,1.6800000000000004,-5.295409196883467e-16,36.9047619047619,0.2393493030301137,0.0,1.68,0.62,0.0,36.904761904761905
2955,1.63,0.44,0.83,2.96,292,50.9202,181.5951,,50.92024539877301,1,1.6300000000000003,-5.295409196883467e-16,50.920245398773,0.24312837480927563,0.0,1.63,0.83,0.0,50.92024539877301
2964,1.6,0.29,0.6,2.85,292,37.5,178125,,37.49999999999999,1,1.6000000000000005,-5.295409196883467e-16,37.499999999999986,0.24689595420846722,0.0,1.6,0.6,0.0,37.5
2973,1.45,0.32,0.62,2.95,324,42.7586,203.4483,,42.75862068965517,1,1.4500000000000004,-5.295409196883467e-16,42.75862068965516,0.2506521109138351,0.0,1.45,0.62,0.0,42.758620689655174
2982,1.35,0.17,0.43,2.65,345,31.8519,196.2963,,31.851851851851848,1,1.3500000000000005,-5.295409196883467e-16,31.85185185185184,0.2543969139796065,0.0,1.35,0.43,0.0,31.85185185185185
